Code,Stock,Type,Theoretical Quantity,Segment Area,Segment Code,Segment Name
KNCR11,FII KINEA RI,CI,39097087,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
KNSC11,FII KINEA SC,CI,8560787,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
MALL11,FII MALLS BP,CI,7560351,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
MCCI11,FII MAUA,CI ER,12417281,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
MXRF11,FII MAXI REN,CI,226039663,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
MGFF11,FII MOGNO,CI ER,9050620,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
PATL11,FII PATR LOG,CI,4991535,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
RBRP11,FII RBR PROP,CI ER,12179186,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
RBRF11,FII RBRALPHA,CI ER,13680770,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
RBRR11,FII RBRHGRAD,CI ER,10362300,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
RECR11,FII REC RECE,CI ER,19379213,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
RECT11,FII REC REND,CI ER,8179347,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
RBVA11,FII RIOB VA,CI,11588199,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
RZTR11,FII RIZA TX,CI,11048018,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
SDIL11,FII SDI LOG,CI,8869047,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
TGAR11,FII TG ATIVO,CI,11309571,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
TORD11,FII TORDE EI,CI ER,35051354,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
TRXF11,FII TRX REAL,CI,7641522,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
URPR11,FII URCA REN,CI,3320856,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
VGIP11,FII VALORAIP,CI ER,7351274,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
CVBI11,FII VBI CRI,CI ER,9916926,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
LVBI11,FII VBI LOG,CI,11775177,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
PVBI11,FII VBI PRI,CI,13227854,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
VILG11,FII VINCI LG,CI,14997396,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
VINO11,FII VINCI OF,CI,12673868,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
VISC11,FII VINCI SC,CI,18979540,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
XPCI11,FII XP CRED,CI ES,9771454,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
XPIN11,FII XP INDL,CI,7302828,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
XPLG11,FII XP LOG,CI,27101061,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
XPCM11,FII XP MACAE,CI,2414570,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
XPML11,FII XP MALLS,CI,23807124,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
XPPR11,FII XP PROP,CI,7316171,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
XPSF11,FII XP SELEC,CI,4330214,Segments and Sectors,IFIL,High Liquidity Real Estate Investment Fund Index (IFIX L B3)
CSAN3,COSAN,ON NM,1169237744,Segments and Sectors,MLCX,MidLargeCap Index (MLCX)
PETR3,PETROBRAS,ON N2,3684060179,Segments and Sectors,MLCX,MidLargeCap Index (MLCX)
PRIO3,PETRORIO,ON NM,839159130,Segments and Sectors,MLCX,MidLargeCap Index (MLCX)
RAIL3,RUMO S.A.,ON NM,1216056103,Segments and Sectors,MLCX,MidLargeCap Index (MLCX)
TIMS3,TIM,ON NM,808619532,Segments and Sectors,MLCX,MidLargeCap Index (MLCX)
TOTS3,TOTVS,ON NM,480960677,Segments and Sectors,MLCX,MidLargeCap Index (MLCX)
UGPA3,ULTRAPAR,ON NM,1084337016,Segments and Sectors,MLCX,MidLargeCap Index (MLCX)
ARCT11,FII ARCTIUM,CI ER,1597568,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
AIEC11,FII AUTONOMY,CI,4825000,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
BCIA11,FII BCIA,CI,3719038,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
BLMR11,FII BLUE FOF,CI ER,2554163,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
BZLI11,FII BRREALTY,CI,39134186,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
BTAL11,FII BTG AGRO,CI,5982736,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
BTCR11,FII BTG CRI,CI ER,4810097,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
CPFF11,FII CAP REIT,CI ER,5473771,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
HGFF11,FII CSHG FOF,CI,2863597,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
HGPO11,FII CSHGPRIM,CI,1753057,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
FEXC11,FII EXCELLEN,CI ER,6103509,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
FIGS11,FII GEN SHOP,CI,2850000,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
GALG11,FII GUARDIAN,CI,5613031,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
HSLG11,FII HSI LOG,CI,12660067,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
FIIB11,FII INDL BR,CI,685000,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
KFOF11,FII KINEAFOF,CI,4533315,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
MFII11,FII MERITO I,CI,4146900,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
MORE11,FII MORE RE,CI ER,2319115,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
OUJP11,FII OURI JPP,CI,3252384,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
PATC11,FII PATRIA,CI,3477434,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
PLCR11,FII PLURAL R,CI,2109169,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
PORD11,FII POLO CRI,CI,3728375,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
QAGR11,FII QUASAR A,CI,5040000,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
RFOF11,FII RB CFOF,CI,1078164,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
RBRL11,FII RBR LOG,CI ER,6687035,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
RBRY11,FII RBR PCRI,CI ER,3397153,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
RBED11,FII RIOB ED,CI,2021621,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
RBFF11,FII RIOB FF,CI,3749215,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
RCRB11,FII RIOB RC,CI ER,3690695,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
RZAK11,FII RIZA AKN,CI ER,3001734,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
FLMA11,FII S F LIMA,CI ER,1380670,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
SADI11,FII SANT PAP,CI,3180207,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
SARE11,FII SANT REN,CI,9234329,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
SPTW11,FII SP DOWNT,CI,1798000,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
TEPP11,FII TEL PROP,CI,4221967,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
VGIR11,FII VALREIII,CI ER,4506414,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
RVBI11,FII VBI REIT,CI ER,1440000,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
VCJR11,FII VECTIS,CI,11603880,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
VSLH11,FII VERS CRI,CI ERS,36593679,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
VIFI11,FII VINCI IF,CI,2812340,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
VTLT11,FII VOT LOG,CI,2115000,Segments and Sectors,IFIX,Real Estate Investment Fund Index (IFIX)
RRRP3,3R PETROLEUM,ON NM,129500588,Segments and Sectors,SMLL,SmallCap Index (SMLL)
AZUL4,AZUL,PN N2,327741172,Segments and Sectors,SMLL,SmallCap Index (SMLL)
BMOB3,BEMOBI TECH,ON NM,86869818,Segments and Sectors,SMLL,SmallCap Index (SMLL)
ECOR3,ECORODOVIAS,ON NM,339237914,Segments and Sectors,SMLL,SmallCap Index (SMLL)
ENJU3,ENJOEI,ON NM,158821493,Segments and Sectors,SMLL,SmallCap Index (SMLL)
GOLL4,GOL,PN N2,167095214,Segments and Sectors,SMLL,SmallCap Index (SMLL)
HBSA3,HIDROVIAS,ON NM,760109566,Segments and Sectors,SMLL,SmallCap Index (SMLL)
IRBR3,IRBBRASIL RE,ON NM,1255286531,Segments and Sectors,SMLL,SmallCap Index (SMLL)
KEPL3,KEPLER WEBER,ON,30332816,Segments and Sectors,SMLL,SmallCap Index (SMLL)
LWSA3,LOCAWEB,ON NM,431783548,Segments and Sectors,SMLL,SmallCap Index (SMLL)
LOGN3,LOG-IN,ON NM,100340344,Segments and Sectors,SMLL,SmallCap Index (SMLL)
CASH3,MELIUZ,ON EB NM,543488802,Segments and Sectors,SMLL,SmallCap Index (SMLL)
MILS3,MILLS,ON NM,113954358,Segments and Sectors,SMLL,SmallCap Index (SMLL)
MOSI3,MOSAICO,ON NM,67808642,Segments and Sectors,SMLL,SmallCap Index (SMLL)
NGRD3,NEOGRID,ON NM,109743428,Segments and Sectors,SMLL,SmallCap Index (SMLL)
OPCT3,OCEANPACT,ON NM,128832326,Segments and Sectors,SMLL,SmallCap Index (SMLL)
RCSL3,RECRUSUL,ON,25408950,Segments and Sectors,SMLL,SmallCap Index (SMLL)
RCSL4,RECRUSUL,PN,50414424,Segments and Sectors,SMLL,SmallCap Index (SMLL)
STBP3,SANTOS BRP,ON NM,857821689,Segments and Sectors,SMLL,SmallCap Index (SMLL)
SHUL4,SCHULZ,PN,87012162,Segments and Sectors,SMLL,SmallCap Index (SMLL)
SEQL3,SEQUOIA LOG,ON NM,78010759,Segments and Sectors,SMLL,SmallCap Index (SMLL)
SIMH3,SIMPAR,ON NM,225252808,Segments and Sectors,SMLL,SmallCap Index (SMLL)
SQIA3,SINQIA,ON NM,77049738,Segments and Sectors,SMLL,SmallCap Index (SMLL)
TPIS3,TRIUNFO PART,ON NM,74237233,Segments and Sectors,SMLL,SmallCap Index (SMLL)
VLID3,VALID,ON NM,78269230,Segments and Sectors,SMLL,SmallCap Index (SMLL)
WEST3,WESTWING,ON NM,108526910,Segments and Sectors,SMLL,SmallCap Index (SMLL)
MMMC34,3M,DRN,23145532,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
ABUD34,AB INBEV,DRN,121154520,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
A1BB34,ABB LTD,DRN,82125920,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
ABTT34,ABBOTT,DRN,70912680,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
ABBV34,ABBVIE,DRN,17671760,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
A1BM34,ABIOMED INC,DRN,1815209,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
ACNB34,ACCENTURE,DRN,6450000,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
ATVI34,ACTIVISION,DRN,7777084,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
ADBE34,ADOBE INC,DRN,238200000,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
A1AP34,ADVANCE AUTO,DRN ED,10080118,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
A1MD34,ADVANCED MIC,DRN,12129650,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
A1EG34,AEGON NV,DRN,20981140,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
A1ES34,AES CORP,DRN,6663597,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
A1KA34,AKAMAI TECHN,DRN,19539576,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
A1LB34,ALBEMARLE CO,DRN ED,1169499,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
A1RE34,ALEXANDRIA R,DRN,5044584,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
BABA34,ALIBABAGR,DRN,761090120,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
A1LL34,ALLIANCE DAT,DRN,1990240,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
A1LN34,ALNYLAM PHAR,DRN,23769540,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
GOGL34,ALPHABET,DRN A,451626900,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
GOGL35,ALPHABET,DRN C,480252750,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
A1YX34,ALTERYX INC,DRN,11896344,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
MOOO34,ALTRIA GROUP,DRN ED,18440780,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
AMZO34,AMAZON,DRN,5064405,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
A1MX34,AMERICAMOVIL,DRN,5474714,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
AALL34,AMERICAN AIR,DRN,19339119,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
AXPB34,AMERICAN EXP,DRN,43166187,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
T1OW34,AMERICAN TOW,DRN,8435134,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
AMGN34,AMGEN,DRN,9788288,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
A1UA34,ANGLOGOLD AS,DRN,12767899,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
A1PA34,APA CORP,DRN,27920000,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
A1IV34,APARTMENT IN,DRN,15078780,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
AAPL34,APPLE,DRN,1653017000,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
A1MT34,APPLIED MATE,DRN,9029285,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
ARMT34,ARCELOR,DRN,22056200,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
ASML34,ASML HOLD,DRN,4194983,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
A1ZN34,ASTRAZENECA,DRN,185893980,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
ATTB34,ATT INC,DRN,72000000,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
A1UT34,AUTODESK INC,DRN,8800532,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
A1VB34,AVALONBAY CO,DRN,5584672,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
BIDU34,BAIDU INC,DRN,2780711,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
B1SA34,BANCO SANTAN,DRN,9422306,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
BOAC34,BANK AMERICA,DRN,336596160,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
B1CS34,BARCLAYS PLC,DRN,42325930,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
BERK34,BERKSHIRE,DRN,22810000,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
BBYY34,BEST BUY,DRN ED,2504730,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
B1IL34,BILIBILI INC,DRN,15032360,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
BIIB34,BIOGEN,DRN,8942004,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
B1NT34,BIONTECH SE,DRN,19401360,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
BLAK34,BLACKROCK,DRN,9131748,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
BONY34,BNY MELLON,DRN,8631700,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
BOEI34,BOEING,DRN,5861500,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
BKNG34,BOOKING,DRN,71854720,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
BOXP34,BOSTON PROP,DRN,15616920,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
B1SX34,BOSTON SCIEN,DRN,14238530,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
B1PP34,BP PLC,DRN,134212440,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
BMYB34,BRISTOLMYERS,DRN,22220000,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
B1TI34,BRITISH AMER,DRN,114731550,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
AVGO34,BROADCOM INC,DRN,143591210,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
CAPH34,CAPRI HOLDI,DRN,1520145,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
C1CL34,CARNIVAL COR,DRN,9738245,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
CATP34,CATERPILLAR,DRN,5474714,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
CHCM34,CHARTER COMM,DRN,110293320,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
CHVX34,CHEVRON,DRN,19339119,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
C1HI34,CHINA PETROL,DRN ED,15308064,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
C1IC34,CIGNA CORP,DRN,13604300,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
CSCO34,CISCO,DRN,210710250,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
CTGP34,CITIGROUP,DRN,121607100,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
COCA34,COCA COLA,DRN ED,43166187,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
COLG34,COLGATE,DRN,8435134,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
CMCS34,COMCAST,DRN,229014650,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
COPH34,COPHILLIPS,DRN,53563280,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
C1TV34,CORTEVA INC,DRN,29376840,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
COWC34,COSTCO,DRN,176827640,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
COTY34,COTY INC,DRN,15321316,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
C1SU34,CREDIT SUISS,DRN,53014960,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
CRIP34,CTRIPCOM,DRN,6374564,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
CVSH34,CVS HEALTH,DRN,26391500,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
DHER34,DANAHER CORP,DRN,28555984,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
DEEC34,DEERE CO,DRN,6201230,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
D1EL34,DELL TECHNOL,DRN,2775881,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
DEAI34,DELTA,DRN,6399149,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
DBAG34,DEUTSCHE AK,DRN,20667730,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
F1AN34,DIAMONDBACK,DRN,3621072,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
D1LR34,DIGITAL REAL,DRN ED,11303736,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
D1OC34,DOCUSIGN INC,DRN,38967020,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
DGCO34,DOLLAR GENER,DRN,4666204,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
EBAY34,EBAY,DRN,13001116,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
EAIN34,ELECTR ARTS,DRN,5691636,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
E1NI34,ENEL AMERICA,DRN,21456340,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
EQIX34,EQUINIX INC,DRN,71800168,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
E1QR34,EQUITY RESID,DRN,7489146,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
E1RI34,ERICSSON LM,DRN,61447920,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
E1SS34,ESSEX PROPER,DRN,6503481,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
EXXO34,EXXON MOBIL,DRN,169342520,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
FBOK34,FACEBOOK,DRN,667467360,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
F1RI34,FEDERAL REAL,DRN,3110725,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
FDXB34,FEDEX CORP,DRN,2661900,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
F1NI34,FIDELITY NAT,DRN ED,98830512,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
FSLR34,FIRST SOLAR,DRN,2126386,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
FDMO34,FORD MOTORS,DRN,39239120,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
FCXO34,FREEPORT,DRN,14680640,Segments and Sectors,BDRX,Unsponsored BDR Index-GLOBAL (BDRX)
